Name,Latitude,Longitude,DarknessTierNotes,SourceNote
Bannau Brycheiniog / Brecon Beacons International Dark Sky Reserve,51.94,-3.38,1,IDA International Dark-Sky Reserve (Wales); centroid approximate for demo
Northumberland International Dark Sky Park,55.23,-2.50,1,IDA Dark Sky Park (England)
Galloway Forest Park International Dark Sky Park,55.07,-4.40,2,IDA Dark Sky Park (Scotland)
Moore International Dark Sky Reserve (Yorkshire),53.95,-1.85,2,IDA Reserve (England)
Elan Valley International Dark Sky Park,52.26,-3.51,2,IDA Dark Sky Park (Wales)
Exmoor National Park International Dark Sky Reserve,51.08,-3.55,2,IDA Reserve (England)
South Downs National Park International Dark Sky Park,50.92,-0.87,2,IDA Dark Sky Park (England)
Cranborne Chase International Dark Sky Reserve,51.02,-2.05,2,IDA Reserve (England/Wiltshire-Dorset)
Yorkshire Dales International Dark Sky Reserve,54.23,-2.12,2,IDA Reserve (England)
Bodmin Moor International Dark Sky Landscape,50.55,-4.55,3,IDA Dark Sky Landscape (Cornwall)
North York Moors Dark Sky Discovery (representative),54.39,-0.89,3,National Park — stargazing promotion; not full IDA tier 1
Tomintoul and Glenlivet Dark Sky Park (Cairngorms),57.25,-3.38,2,IDA-related Scotland destination (verify annually on darksky.org)
Davagh Forest Dark Sky Observatory / boundary area,54.72,-6.70,2,Northern Ireland dark-sky initiative; coordinates approximate
Peak District National Park (stargazing),53.33,-1.83,3,Natural England National Park — OGL boundary datasets for context
Lake District National Park,54.46,-3.09,3,Natural England / LDNPA — high landscape darkness varies by valley
Dartmoor National Park,50.57,-3.90,3,SW England moor — open horizon; check weather
New Forest National Park,50.88,-1.63,3,South England — some light pollution from cities
Norfolk Broads National Park,52.62,1.55,4,East Anglia — darker than cities; humidity/cloud common
Snowdonia / Eryri National Park,53.05,-4.00,3,Wales — mountain skies; weather dependent
Pembrokeshire Coast National Park,51.94,-5.00,3,Wales coastal dark patches
Loch Lomond & The Trossachs National Park,56.25,-4.63,3,Scotland — loch shores
Cairngorms National Park,57.08,-3.92,2,Scotland — high latitude summer short nights
Assynt-Coigach area (NW Scotland dark skies),58.20,-5.00,2,Informal dark sky tourism area — coordinates rough
Isle of Skye (representative),57.30,-6.33,3,Scotland — frequent cloud; spectacular when clear
Anglesey / Ynys Môn coast,53.25,-4.31,3,Wales — coastal NW facing
Kielder Forest / Water (near Northumberland IDA),55.18,-2.50,2,Near Northumberland IDA — popular public stargazing
Kielder Observatory,55.23,-2.37,1,Public observatory — check booking
Great Orme Llandudno (coastal night sky),53.33,-3.85,4,Urban nearby — illustrative only
Stonehenge landscape (night events),51.18,-1.82,4,Heritage lighting controls for events — not a dark reserve
Jodrell Bank (radio astronomy context),53.23,-2.31,4,Cheshire — visitor centre; optical sky moderate
Royal Observatory Edinburgh visitor context,55.92,-3.19,4,City — education site not dark site
Royal Observatory Greenwich,51.48,-0.00,5,London — extreme light pollution; historical astronomy anchor only
